model,variation,content,style,lpips,dinov2,psnr,ssim
CC,no_adapter,content4,style4,0.411862,0.740758,13.495337,0.421826
CC,no_adapter,content4,style5,0.418388,0.654639,13.121848,0.420562
CC,no_adapter,content5,style1,0.701064,0.622756,13.486182,0.266814
CC,no_adapter,content5,style2,0.586014,0.847267,14.171018,0.272890
CC,no_adapter,content5,style3,0.605893,0.826781,14.334723,0.336029
CC,no_adapter,content5,style4,0.662659,0.538619,13.793934,0.214196
CC,no_adapter,content5,style5,0.596079,0.226301,13.442453,0.179636
CC,only_ip_adapter,content1,style1,0.679115,0.476132,9.234863,0.289837
CC,only_ip_adapter,content1,style2,0.697742,0.360640,9.254061,0.190239
CC,only_ip_adapter,content1,style3,0.827262,0.306328,7.299279,0.172533
CC,only_ip_adapter,content1,style4,0.729483,0.390868,11.196546,0.199147
CC,only_ip_adapter,content1,style5,0.679986,0.263873,9.530946,0.206298
CC,only_ip_adapter,content2,style1,0.704251,0.348902,10.120112,0.207215
CC,only_ip_adapter,content2,style2,0.709553,0.311444,10.096990,0.164553
CC,only_ip_adapter,content2,style3,0.767952,0.296417,9.276096,0.149926
CC,only_ip_adapter,content2,style4,0.680269,0.170842,12.247047,0.184132
CC,only_ip_adapter,content2,style5,0.698171,0.217864,10.771593,0.164162
CC,only_ip_adapter,content3,style1,0.656687,0.548983,10.301998,0.289445
CC,only_ip_adapter,content3,style2,0.746983,0.271534,9.923630,0.159009
CC,only_ip_adapter,content3,style3,0.771201,0.265406,9.799137,0.207491
CC,only_ip_adapter,content3,style4,0.690132,0.182626,10.798586,0.190678
CC,only_ip_adapter,content3,style5,0.685851,0.225490,10.548989,0.186989
CC,only_ip_adapter,content4,style1,0.584735,0.388281,10.537449,0.301458
CC,only_ip_adapter,content4,style2,0.695997,0.302853,9.558463,0.208845
CC,only_ip_adapter,content4,style3,0.761546,0.261542,8.214772,0.202084
CC,only_ip_adapter,content4,style4,0.603993,0.404695,11.340532,0.264617
CC,only_ip_adapter,content4,style5,0.644343,0.251425,9.349374,0.215485
CC,only_ip_adapter,content5,style1,0.713858,0.349795,11.023994,0.205754
CC,only_ip_adapter,content5,style2,0.652139,0.345057,11.612740,0.176936
CC,only_ip_adapter,content5,style3,0.684859,0.355585,12.269548,0.206632
CC,only_ip_adapter,content5,style4,0.720870,0.282538,11.264013,0.180326
CC,only_ip_adapter,content5,style5,0.596291,0.198314,13.960912,0.198173
CC,only_controlnet,content1,style1,0.610701,0.697585,10.532945,0.358957
CC,only_controlnet,content1,style2,0.685913,0.893353,10.673809,0.247044
CC,only_controlnet,content1,style3,0.739191,0.849954,9.276545,0.260177
CC,only_controlnet,content1,style4,0.608803,0.619939,11.461603,0.273437
CC,only_controlnet,content1,style5,0.659824,0.639727,10.574731,0.184422
CC,only_controlnet,content2,style1,0.539052,0.846425,9.680172,0.242250
CC,only_controlnet,content2,style2,0.542314,0.821093,10.294795,0.072596
CC,only_controlnet,content2,style3,0.568132,0.667042,12.381515,0.200454
CC,only_controlnet,content2,style4,0.523985,0.645136,10.486626,0.028636
CC,only_controlnet,content2,style5,0.560530,0.636086,10.480289,0.042183
CC,only_controlnet,content3,style1,0.585338,0.816487,10.240582,0.274515
CC,only_controlnet,content3,style2,0.600855,0.973378,10.946014,0.203350
CC,only_controlnet,content3,style3,0.570747,0.903935,11.622128,0.346737
CC,only_controlnet,content3,style4,0.540579,0.855432,10.685187,0.231906
CC,only_controlnet,content3,style5,0.602853,0.892760,11.273768,0.186223
CC,only_controlnet,content4,style1,0.533685,0.730405,8.017750,0.253482
CC,only_controlnet,content4,style2,0.545916,0.810004,8.152649,0.211042
CC,only_controlnet,content4,style3,0.563430,0.922145,8.073148,0.273176
CC,only_controlnet,content4,style4,0.500828,0.572325,8.754620,0.247917
CC,only_controlnet,content4,style5,0.565123,0.658679,8.974740,0.213940
CC,only_controlnet,content5,style1,0.708151,0.760696,9.742260,0.212764
CC,only_controlnet,content5,style2,0.636333,0.865245,11.890608,0.227705
CC,only_controlnet,content5,style3,0.654954,0.781335,12.139297,0.310559
CC,only_controlnet,content5,style4,0.618892,0.581896,11.764361,0.211383
CC,only_controlnet,content5,style5,0.626164,0.379003,11.475167,0.168786
CC,controlnet_ip_adapter,content1,style1,0.639219,0.437239,7.730799,0.229286
CC,controlnet_ip_adapter,content1,style2,0.717746,0.690215,8.320251,0.138844
CC,controlnet_ip_adapter,content1,style3,0.824025,0.706629,7.014254,0.111207
CC,controlnet_ip_adapter,content1,style4,0.676358,0.508336,10.405169,0.217490
CC,controlnet_ip_adapter,content1,style5,0.664738,0.382220,8.691582,0.158822
CC,controlnet_ip_adapter,content2,style1,0.532095,0.578723,7.432011,0.178827
CC,controlnet_ip_adapter,content2,style2,0.642682,0.653458,7.890814,0.003019
CC,controlnet_ip_adapter,content2,style3,0.704652,0.448443,7.893651,0.008812
CC,controlnet_ip_adapter,content2,style4,0.523461,0.531465,9.252185,-0.033876
CC,controlnet_ip_adapter,content2,style5,0.554019,0.559992,9.542305,0.032704
CC,controlnet_ip_adapter,content3,style1,0.607337,0.665307,7.587390,0.176851
CC,controlnet_ip_adapter,content3,style2,0.673603,0.884497,9.102570,0.117604
CC,controlnet_ip_adapter,content3,style3,0.674366,0.763994,8.937657,0.177811
CC,controlnet_ip_adapter,content3,style4,0.613746,0.681001,9.247389,0.078057
CC,controlnet_ip_adapter,content3,style5,0.648017,0.515305,8.908629,0.091067
CC,controlnet_ip_adapter,content4,style1,0.524291,0.623851,6.253802,0.210441
CC,controlnet_ip_adapter,content4,style2,0.599284,0.801533,6.630054,0.108880
CC,controlnet_ip_adapter,content4,style3,0.680905,0.915499,6.451221,0.177919
CC,controlnet_ip_adapter,content4,style4,0.561869,0.570974,8.977905,0.202432
CC,controlnet_ip_adapter,content4,style5,0.611187,0.535707,7.605516,0.157822
CC,controlnet_ip_adapter,content5,style1,0.685662,0.511006,9.654580,0.154862
CC,controlnet_ip_adapter,content5,style2,0.698154,0.542882,9.129093,0.126870
CC,controlnet_ip_adapter,content5,style3,0.737929,0.663649,9.568757,0.160650
CC,controlnet_ip_adapter,content5,style4,0.651500,0.438391,8.651794,0.128043
CC,controlnet_ip_adapter,content5,style5,0.634874,0.353895,11.102455,0.114998
DD,no_adapter,content1,style1,0.698044,0.633159,9.372189,0.284758
DD,no_adapter,content1,style2,0.745073,0.922817,8.991534,0.201150
DD,no_adapter,content1,style3,0.763068,0.850431,8.834942,0.267648
DD,no_adapter,content1,style4,0.672397,0.666404,10.618617,0.335078
DD,no_adapter,content1,style5,0.695450,0.285298,9.094754,0.120642
DD,no_adapter,content2,style1,0.710367,0.739559,10.224311,0.257948
DD,no_adapter,content2,style2,0.768912,0.916939,11.338637,0.169977
DD,no_adapter,content2,style3,0.732238,0.788090,11.066773,0.278306
DD,no_adapter,content2,style4,0.715684,0.655604,10.341990,0.164405
DD,no_adapter,content2,style5,0.745677,0.353687,9.816486,0.090671
DD,no_adapter,content3,style1,0.725865,0.622094,8.940605,0.282177
DD,no_adapter,content3,style2,0.849862,0.721167,9.310636,0.176032
DD,no_adapter,content3,style3,0.793028,0.843716,9.213741,0.227781
DD,no_adapter,content3,style4,0.744016,0.615166,9.950694,0.204454
DD,no_adapter,content3,style5,0.768562,0.375769,9.539531,0.136888
DD,no_adapter,content4,style1,0.678841,0.737981,8.196257,0.266760
DD,no_adapter,content4,style2,0.733881,0.977770,8.171556,0.134295
DD,no_adapter,content4,style3,0.785923,0.838418,8.278600,0.229694
DD,no_adapter,content4,style4,0.672236,0.632538,7.830981,0.177551
DD,no_adapter,content4,style5,0.657034,0.684093,7.276415,0.090982
DD,no_adapter,content5,style1,0.737510,0.631081,10.916802,0.256426
DD,no_adapter,content5,style2,0.663745,0.907781,11.303813,0.229149
DD,no_adapter,content5,style3,0.659752,0.848426,11.420220,0.279669
DD,no_adapter,content5,style4,0.615840,0.697694,11.595993,0.199590
